ID,Title (exact YouTube title),Channel,Direct YouTube URL,Category,Duration_min,Why this fits,,,,,,
V01,How To Use Ultrasonic Sensors with Arduino! + Project Idea!,Robonyx,https://www.youtube.com/watch?v=KGwtit2bFyo,Arduino-Beginner,4.15,"Clear breadboard wiring of an ultrasonic sensor, presenter verbally names components, 4.15 min.",,,,,,
V02,How to use water level sensor with Arduino Uno.,Electronics Lab,https://www.youtube.com/watch?v=-HCZY4UoFiA,Arduino-Beginner,4.35,"Clear breadboard wiring of a water level sensor, presenter verbally names components, 4.35 min.",,,,,,
V03,Arduino Tutorial: LED Sequential Control- Beginner Project,Drone How,https://www.youtube.com/watch?v=e1FVSpkw6q4,Arduino-Beginner,3.88,"Clear breadboard wiring of LEDs, presenter verbally names components, 3.88 min.",,,,,,
V04,DHT11 Temperature & Humidity sensor with Arduino - Tutorial,Brainy-Bits,https://www.youtube.com/watch?v=OogldLc9uYc,Arduino-Beginner,5.28,"Clear breadboard wiring of a DHT11 sensor, presenter verbally names components, 5.28 min.",,,,,,
V05,Getting Started With DHT11 Temperature and Humidity Sensor : Arduino Projects For Beginners,BMonster Laboratory,https://www.youtube.com/watch?v=PxQruKtumvg,Arduino-Beginner,6.93,"Clear breadboard wiring of a DHT11 sensor, presenter verbally names components, 6.93 min.",,,,,,
V06,How to Use a PIR Sensor with Arduino (Lesson #26),Science Buddies,https://www.youtube.com/watch?v=3gj_68ywod4,Arduino-Beginner,6.65,"Clear breadboard wiring of a PIR sensor, presenter verbally names components, 6.65 min.",,,,,,
V07,Motion Detection with Arduino in 3 Minutes! Using HC-SR501 Sensor,HuHamster,https://www.youtube.com/watch?v=CT4iyc1sFHI,Arduino-Beginner,3.18,"Clear breadboard wiring of an HC-SR501 PIR sensor, presenter verbally names components, 3.18 min.",,,,,,
V08,How to Use a PIR Sensor with Arduino for Motion Detection,Arduino Intro,https://www.youtube.com/watch?v=giIMy18D2lY,Arduino-Beginner,3.4,"Clear breadboard wiring of a PIR sensor, presenter verbally names components, 3.40 min.",,,,,,
V09,How to Use an LCD Screen with an Arduino (Lesson #21),Science Buddies,https://www.youtube.com/watch?v=s_-nIgo71_w,Arduino-Intermediate,10.02,"Clear breadboard wiring of an LCD screen requiring complex pin connections, 10.02 min.",,,,,,
V10,How To Connect An LCD Display To Arduino (Elegoo Mega 2560 Project Lesson 22 From Start To Finish),BMonster Laboratory,https://www.youtube.com/watch?v=dpoBwmuE2QE,Arduino-Intermediate,12.43,"Clear breadboard wiring of an LCD display, presenter verbally names components, 12.43 min.",,,,,,
V11,How to Use I2C LCD with Arduino | Very Easy Arduino LCD I2C Tutorial | Arduino 16x2 LCD I2C Tutorial,Tronics lk,https://www.youtube.com/watch?v=CvqHkXeXN3M,Arduino-Intermediate,9.03,"Clear breadboard wiring of an I2C LCD, presenter verbally names components, 9.03 min.",,,,,,
V12,Arduino RFID Module RC522 - How to Use,DIY Engineers,https://www.youtube.com/watch?v=cFK87MJ96A8,Arduino-Intermediate,7.15,"Clear breadboard wiring of an RC522 RFID module, presenter verbally names components, 7.15 min.",,,,,,
V13,Raspberry Pi Tutorial (Model B+) - Using a Breadboard and LED’s,Tech With Tim,https://www.youtube.com/watch?v=6Hau75Zkpj4,RaspberryPi-Beginner,14.08,"Clear breadboard wiring of LEDs to a Raspberry Pi, presenter verbally names components, 14.08 min.",,,,,,
V14,Raspberry Pi DHT11 DHT22 Temperature and Humidity Sensor,TheGeekPub,https://www.youtube.com/watch?v=GsG1OClojOk,RaspberryPi-Beginner,4.03,"Clear breadboard wiring of a DHT11/22 sensor on a Pi, presenter verbally names components, 4.03 min.",,,,,,
V15,Raspberry Pi with DHT11 | Humidity and Temperature Sensor Monitoring,SME Dehradun,https://www.youtube.com/watch?v=iodFalI3q1k,RaspberryPi-Beginner,4.98,"Clear breadboard wiring of a DHT11 sensor to a Pi, presenter verbally names components, 4.98 min.",,,,,,
V16,How to Use a PIR Motion Sensor with Raspberry Pi,Tech With Tim,https://www.youtube.com/watch?v=Tw0mG4YtsZk,RaspberryPi-Beginner,12.4,"Clear breadboard wiring of a PIR sensor to a Pi, presenter verbally names components, 12.40 min.",,,,,,
V17,How To Set Up A GPIO Screen For Raspberry Pi | Waveshare 3.5 Inch Touch LCD,Core Electronics,https://www.youtube.com/watch?v=vCAGzLGTUk4,RaspberryPi-Intermediate,7.22,"Clear intermediate wiring of a touch LCD screen to a Pi, 7.22 min.",,,,,,
V18,PiicoDev RFID Module | Guide for Raspberry Pi,Core Electronics,https://www.youtube.com/watch?v=rRdC7kj-YHo,RaspberryPi-Intermediate,14.08,"Clear intermediate wiring of an RFID module to a Pi, 14.08 min.",,,,,,
V19,How to Set up the RC522 to Work with a Raspberry Pi,Brett Medjuck,https://www.youtube.com/watch?v=n-XPS0eGjG0,RaspberryPi-Intermediate,13.15,"Clear intermediate breadboard wiring of an RC522 RFID module to a Pi, 13.15 min.",,,,,,
V20,How to make an RFID door lock system with Raspberry Pi board,SriTu Hobby,https://www.youtube.com/watch?v=p1RfcgJnHR4,RaspberryPi-Intermediate,4.92,"Clear intermediate breadboard wiring of an RFID door lock system, 4.92 min.",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
